Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.421068,19.716356107660456,0.08684616,0.1825726141078838,0.1825726141078838,0.073014304,0.09870738,0.00029693343,0.19897781,0.009897882,1.0
20000,1.4218142,18.072519083969464,0.117007755,0.18702290076335878,0.18702290076335878,0.045186654,0.09298934,0.00029142987,0.1971433,0.009714613,1.0
30000,1.4196608,19.288032454361055,0.09967216,0.18661257606490872,0.18661257606490872,0.04115899,0.10294314,0.00028530852,0.19510286,0.009510775,1.0
40000,1.4136496,19.274193548387096,0.11636462,0.2217741935483871,0.2217741935483871,0.05064293,0.104900636,0.00027919648,0.19306548,0.009307241,1.0
50000,1.4065818,19.420944558521562,0.11664348,0.20944558521560575,0.20944558521560575,0.04961666,0.09880686,0.0002730777,0.19102588,0.009103486,1.0
60000,1.3964816,19.568788501026695,0.11166653,0.2053388090349076,0.2053388090349076,0.045994032,0.103297986,0.00026695657,0.18898551,0.008899653,1.0
70000,1.3800912,18.64763779527559,0.11814382,0.21456692913385828,0.21456692913385828,0.0515913,0.10616052,0.00026082387,0.18694128,0.008695434,1.0
80000,1.3646088,18.627450980392158,0.12761104,0.20588235294117646,0.20588235294117646,0.047920696,0.103699885,0.00025470433,0.18490145,0.008491652,1.0
90000,1.3540802,18.09351145038168,0.14103344,0.1965648854961832,0.1965648854961832,0.05294009,0.10466591,0.0002486019,0.18286727,0.008288441,1.0
100000,1.3442458,17.515482695810565,0.1164312,0.20446096654275092,0.20446096654275092,0.052829564,0.097472414,0.00024249029,0.18083009,0.008084925,1.0
110000,1.3334897,17.537735849056602,0.1328375,0.2158671586715867,0.2158671586715867,0.047646552,0.10323735,0.00023700336,0.1790011,0.007902209,1.0
120000,1.321474,17.313186813186814,0.13201384,0.21062271062271062,0.21062271062271062,0.05189094,0.095539324,0.00023151256,0.17717084,0.007719367,1.0
130000,1.3129293,18.313346228239844,0.10727883,0.16988416988416988,0.16988416988416988,0.044382468,0.099637344,0.00022541647,0.1751388,0.007516367,1.0
140000,1.307998,15.907094594594595,0.091113254,0.17229729729729729,0.17229729729729729,0.045622,0.10088503,0.00021931373,0.17310457,0.0073131444,1.0
150000,1.305915,17.134057971014492,0.086632654,0.19927536231884058,0.19927536231884058,0.044984814,0.107833825,0.00021320442,0.17106812,0.0071097054,1.0
160000,1.2964466,17.33823529411765,0.122271,0.18566176470588236,0.18566176470588236,0.05066688,0.10392835,0.00020710278,0.16903424,0.0069065215,1.0
170000,1.2840513,17.13586956521739,0.11249289,0.18297101449275363,0.18297101449275363,0.045797817,0.10735379,0.00020098586,0.16699529,0.006702828,1.0
180000,1.2781956,16.648409893992934,0.12106093,0.1872791519434629,0.1872791519434629,0.048415504,0.097269095,0.00019488725,0.16496241,0.0064997436,1.0
190000,1.2683678,17.079566003616637,0.12940717,0.21880650994575046,0.21880650994575046,0.052988373,0.104408406,0.00018877673,0.16292557,0.0062962635,1.0
200000,1.2628462,16.550877192982455,0.11009934,0.18771929824561404,0.18771929824561404,0.04801311,0.10889008,0.0001826697,0.1608899,0.0060928995,1.0
210000,1.2584404,16.158703071672356,0.0887873,0.17010309278350516,0.17010309278350516,0.043880474,0.10341259,0.00017655536,0.15885177,0.0058892914,1.0
220000,1.252722,15.993162393162393,0.111224584,0.19322033898305085,0.19322033898305085,0.054721557,0.10467996,0.00017105331,0.15701774,0.005706074,1.0
230000,1.2485048,15.974533106960951,0.1188191,0.1833616298811545,0.1833616298811545,0.046322618,0.10600962,0.00016555973,0.15518656,0.005523138,1.0
240000,1.2423686,15.64891846921797,0.1381407,0.2129783693843594,0.2129783693843594,0.054222703,0.10471593,0.0001594491,0.1531497,0.0053196535,1.0
250000,1.2380364,16.609154929577464,0.12696642,0.19014084507042253,0.19014084507042253,0.051757526,0.1019869,0.00015333379,0.15111125,0.0051160133,1.0
260000,1.2350396,15.865092748735245,0.11216187,0.18549747048903878,0.18549747048903878,0.048835885,0.09938994,0.0001472282,0.14907604,0.0049126977,1.0
270000,1.228704,15.29315960912052,0.12395589,0.18892508143322476,0.18892508143322476,0.049650017,0.10382692,0.00014111862,0.1470395,0.0047092484,1.0
280000,1.2251633,15.2952691680261,0.100946166,0.16965742251223492,0.16965742251223492,0.04366216,0.1123545,0.00013500966,0.14500318,0.0045058196,1.0
290000,1.2202218,15.29315960912052,0.10474812,0.2003257328990228,0.2003257328990228,0.049254686,0.095475115,0.00012890839,0.14296943,0.004302648,1.0
300000,1.2174245,15.008,0.1312643,0.2208,0.2208,0.058001786,0.10107883,0.00012279235,0.14093077,0.004098983,1.0
